tenure,num_of_orders,days_since_last_purchase,total_spent,avg_order_value,num_complaints,discount_used,login_frequency,preferred_category,churn
39,57,107,5312.5,93.2,7,0,9,0,1
52,85,39,5440.32,64.0,7,1,4,0,0
29,55,118,8620.95,156.74,6,0,28,3,0
15,16,149,1066.34,66.65,1,1,3,0,1
43,95,168,2480.41,26.11,7,1,11,0,1
8,14,82,4124.73,294.62,4,1,25,3,1
21,39,54,8671.83,222.35,5,0,21,0,0
39,28,110,9394.94,335.53,3,1,26,0,0
58,96,12,9927.97,103.42,0,1,13,3,0
19,92,165,9596.02,104.3,4,1,6,2,1
23,51,110,158.82,3.11,2,0,1,2,1
11,49,38,572.31,11.68,8,1,13,1,1
11,9,143,1561.31,173.48,3,1,9,0,1
24,58,7,3553.73,61.27,9,0,27,3,0
53,45,78,8316.19,184.8,1,0,15,3,0
36,22,178,8937.3,406.24,3,0,2,0,1
40,32,65,1949.66,60.93,2,0,26,0,0
24,69,102,6234.68,90.36,2,1,7,3,0
3,87,101,9181.88,105.54,4,1,22,3,1
22,69,44,4690.94,67.98,0,0,27,3,0
53,42,31,1125.08,26.79,4,0,16,1,0
2,53,171,4632.36,87.4,7,0,3,2,1
24,96,77,3820.37,39.8,9,0,20,3,1
44,59,48,5818.81,98.62,8,1,29,2,0
30,74,82,4442.72,60.04,0,0,18,0,0
38,39,127,271.72,6.97,1,0,14,2,0
2,15,84,9940.58,662.71,1,1,19,2,0
21,71,10,5481.05,77.2,5,1,25,2,0
33,29,29,4788.94,165.14,0,0,9,0,0
12,3,48,9550.71,3183.57,0,0,29,2,0
58,83,116,1643.02,19.8,1,0,9,2,0
22,10,13,1973.45,197.34,3,1,22,1,0
44,92,172,8099.35,88.04,1,1,23,0,0
25,29,47,2682.23,92.49,3,1,11,2,0
49,79,103,8012.35,101.42,2,0,8,0,0
27,35,91,2788.18,79.66,2,0,14,3,0
59,6,53,428.56,71.43,8,1,28,2,0
42,12,92,5218.45,434.87,7,1,17,0,1
28,38,77,2047.2,53.87,9,1,19,2,1
16,77,44,7602.68,98.74,8,0,0,2,1
15,93,156,6447.88,69.33,0,1,2,3,1
47,19,2,9243.67,486.51,4,1,7,1,0
51,67,101,7851.58,117.19,3,1,6,0,0
44,8,57,1889.68,236.21,8,0,14,2,1
55,8,57,8021.57,1002.7,2,1,7,3,0
52,84,34,6453.2,76.82,4,0,14,3,0
57,47,58,6722.62,143.03,7,0,26,1,0
3,4,157,8339.4,2084.85,9,0,21,1,1
37,51,35,5780.86,113.35,4,1,4,3,0
51,85,75,4713.43,55.45,8,0,11,3,0
7,67,176,6402.75,95.56,1,1,11,0,1
21,45,33,3049.78,67.77,5,0,25,0,0
9,8,115,1907.71,238.46,4,0,8,3,1
39,87,75,6204.22,71.31,8,0,20,3,0
18,16,73,2415.1,150.94,6,1,8,1,1
4,77,78,891.16,11.57,7,1,14,0,1
25,67,9,105.49,1.57,6,1,14,3,0
14,9,48,6122.36,680.26,9,1,28,0,1
50,60,67,3685.27,61.42,9,0,19,0,0
58,78,164,7547.88,96.77,4,0,11,3,0
9,77,119,3814.25,49.54,4,0,4,3,1
26,71,172,4911.43,69.18,3,0,0,2,1
53,15,133,4130.14,275.34,1,0,21,0,0
2,71,119,6540.69,92.12,8,1,18,0,1
20,98,86,3625.78,37.0,9,0,10,1,1
28,41,106,9641.3,235.15,9,1,25,1,1
47,22,76,9367.86,425.81,9,1,17,1,0
7,24,40,8495.48,353.98,9,1,5,0,1
44,44,19,9210.97,209.34,2,0,16,3,0
8,1,47,4546.48,4546.48,2,1,13,3,1
47,10,65,5410.66,541.07,2,1,11,3,0
35,80,146,7446.72,93.08,7,1,24,0,1
14,72,178,6991.84,97.11,5,1,4,3,1
17,56,30,8917.72,159.24,0,0,6,1,0
36,89,126,7191.68,80.81,2,0,26,3,0
50,50,66,9979.06,199.58,3,0,25,3,0
40,12,5,3550.21,295.85,1,1,15,1,0
4,89,93,8346.68,93.78,5,1,24,2,0
2,81,97,7006.58,86.5,9,0,8,2,1
6,60,170,6944.73,115.75,0,0,28,2,1
54,26,94,3325.77,127.91,0,1,22,0,0
42,78,106,7877.46,100.99,7,1,14,0,1
4,41,133,9013.72,219.85,3,0,3,1,1
54,36,178,2263.63,62.88,0,0,19,2,0
29,23,85,6292.42,273.58,6,1,22,0,0
18,43,58,3982.13,92.61,8,0,23,3,1
26,6,79,9896.53,1649.42,9,0,6,2,1
44,69,8,4840.44,70.15,6,1,26,2,0
34,43,159,2360.37,54.89,0,0,13,0,0
10,25,12,3880.39,155.22,0,0,29,2,0
36,18,149,6573.0,365.17,0,1,25,1,0
14,62,94,853.28,13.76,7,0,3,1,1
31,13,91,6075.66,467.36,6,1,3,0,1
48,43,33,9319.13,216.72,2,0,23,2,0
15,78,154,8518.59,109.21,2,0,27,1,1
8,28,100,769.97,27.5,2,1,13,2,1
14,18,168,9934.56,551.92,1,0,24,1,1
23,59,15,7017.4,118.94,3,0,6,1,0
